"","TAGNUMBER","SEX","TANK_Real","LAST4","condition1","ConditionFactor","condition2","Date"
"7","00186D163B","F",201,"163B","K1",1.14547032571008,"T1",2021-07-29
"6","00186D163B","F",201,"163B","K2",1.19665989911549,"T2",2021-08-30
"4","00186D163B","F",201,"163B","K3",1.1398330958681,"T3",2021-09-29
"1","00186D163B","F",201,"163B","K4",1.12336506581992,"T4",2021-11-04
"2","00186D163B","F",201,"163B","K5",1.05628014923221,"T5",2021-12-09
"5","00186D163B","F",201,"163B","K6",1.15955087560637,"T6",2022-01-06
"3","00186D163B","F",201,"163B","K7",1.23734887291946,"T7",2022-03-30
"10","00186D163D","M",201,"163D","K1",1.11978947957784,"T1",2021-07-29
"8","00186D163D","M",201,"163D","K2",1.1390144335909,"T2",2021-08-30
"11","00186D163D","M",201,"163D","K3",1.11328125,"T3",2021-09-29
"14","00186D163D","M",201,"163D","K4",1.2,"T4",2021-11-04
"12","00186D163D","M",201,"163D","K5",NA,"T5",NA
"13","00186D163D","M",201,"163D","K6",NA,"T6",NA
"9","00186D163D","M",201,"163D","K7",NA,"T7",NA
"20","00186D1640","M",202,"1640","K1",1.02996826171875,"T1",2021-07-29
"15","00186D1640","M",202,"1640","K2",1.13136025659717,"T2",2021-08-30
"19","00186D1640","M",202,"1640","K3",1.0914769458371,"T3",2021-09-29
"16","00186D1640","M",202,"1640","K4",1.28378242966571,"T4",2021-11-04
"21","00186D1640","M",202,"1640","K5",1.2786120425718,"T5",2021-12-09
"17","00186D1640","M",202,"1640","K6",1.25858099757386,"T6",2022-01-06
"18","00186D1640","M",202,"1640","K7",1.28744175282385,"T7",2022-02-04
"24","00186D1646","F",201,"1646","K1",1.05598543468366,"T1",2021-07-29
"28","00186D1646","F",201,"1646","K2",1.23329609262779,"T2",2021-08-30
"23","00186D1646","F",201,"1646","K3",1.15288628472222,"T3",2021-09-29
"27","00186D1646","F",201,"1646","K4",1.1901043807019,"T4",2021-11-04
"22","00186D1646","F",201,"1646","K5",NA,"T5",NA
"25","00186D1646","F",201,"1646","K6",NA,"T6",NA
"26","00186D1646","F",201,"1646","K7",NA,"T7",NA
"29","00186D1648","M",202,"1648","K1",1.06481481481481,"T1",2021-07-29
"30","00186D1648","M",202,"1648","K2",1.13702623906706,"T2",2021-08-30
"31","00186D1648","M",202,"1648","K3",0.951115246891524,"T3",2021-09-29
"35","00186D1648","M",202,"1648","K4",1.16635077999708,"T4",2021-11-04
"32","00186D1648","M",202,"1648","K5",NA,"T5",NA
"33","00186D1648","M",202,"1648","K6",NA,"T6",NA
"34","00186D1648","M",202,"1648","K7",NA,"T7",NA
"41","00186D164C","M",151,"164C","K1",1.08190597667638,"T1",2021-07-29
"39","00186D164C","M",151,"164C","K2",1.00956645634032,"T2",2021-08-30
"38","00186D164C","M",151,"164C","K3",1.10193119849112,"T3",2021-09-29
"37","00186D164C","M",151,"164C","K4",1.19664787561601,"T4",2021-11-04
"40","00186D164C","M",151,"164C","K5",1.16965426024678,"T5",2021-12-09
"42","00186D164C","M",151,"164C","K6",1.13716468526139,"T6",2022-01-06
"36","00186D164C","M",151,"164C","K7",1.21774412148001,"T7",2022-03-30
"44","00186D164E","M",151,"164E","K1",1.08190597667638,"T1",2021-07-29
"47","00186D164E","M",151,"164E","K2",1.1328125,"T2",2021-08-30
"46","00186D164E","M",151,"164E","K3",1.25033726202463,"T3",2021-09-29
"45","00186D164E","M",151,"164E","K4",1.41622797489031,"T4",2021-11-04
"43","00186D164E","M",151,"164E","K5",1.34225760281658,"T5",2021-12-09
"48","00186D164E","M",151,"164E","K6",1.28301349881276,"T6",2022-01-06
"49","00186D164E","M",151,"164E","K7",1.39540934223957,"T7",2022-03-30
"54","00186D164F","F",151,"164F","K1",1.02496355685131,"T1",2021-07-29
"52","00186D164F","F",151,"164F","K2",1.00759419362894,"T2",2021-08-30
"56","00186D164F","F",151,"164F","K3",1.06156432484966,"T3",2021-09-29
"53","00186D164F","F",151,"164F","K4",1.06349173807864,"T4",2021-11-04
"51","00186D164F","F",151,"164F","K5",1.03809153826973,"T5",2021-12-09
"55","00186D164F","F",151,"164F","K6",1.05419610858809,"T6",2022-01-06
"50","00186D164F","F",151,"164F","K7",1.14383860159938,"T7",2022-02-04
"58","00186D1654","F",152,"1654","K1",1.17485146520761,"T1",2021-07-29
"61","00186D1654","F",152,"1654","K2",1.15925525920361,"T2",2021-08-30
"63","00186D1654","F",152,"1654","K3",1.13813973191027,"T3",2021-09-29
"62","00186D1654","F",152,"1654","K4",1.14905511466468,"T4",2021-11-04
"59","00186D1654","F",152,"1654","K5",1.13168724279835,"T5",2021-12-09
"60","00186D1654","F",152,"1654","K6",1.07895907305637,"T6",2022-01-06
"57","00186D1654","F",152,"1654","K7",1.11608912054918,"T7",2022-03-30
"69","00186D1655","M",202,"1655","K1",1.03377655338897,"T1",2021-07-29
"68","00186D1655","M",202,"1655","K2",1.13854595336077,"T2",2021-08-30
"67","00186D1655","M",202,"1655","K3",1.0748513305124,"T3",2021-09-29
"65","00186D1655","M",202,"1655","K4",1.1705532693187,"T4",2021-11-04
"66","00186D1655","M",202,"1655","K5",1.21198083454307,"T5",2021-12-09
"70","00186D1655","M",202,"1655","K6",1.1157980846813,"T6",2022-01-06
"64","00186D1655","M",202,"1655","K7",1.23083676268861,"T7",2022-03-30
"72","00186D1656","M",202,"1656","K1",1.07995442592323,"T1",2021-07-29
"77","00186D1656","M",202,"1656","K2",1.13581278560114,"T2",2021-08-30
"74","00186D1656","M",202,"1656","K3",1.15468727219711,"T3",2021-09-29
"71","00186D1656","M",202,"1656","K4",1.20650918693858,"T4",2021-11-04
"73","00186D1656","M",202,"1656","K5",1.2451171875,"T5",2021-12-09
"75","00186D1656","M",202,"1656","K6",1.28086419753086,"T6",2022-01-06
"76","00186D1656","M",202,"1656","K7",1.35774965639468,"T7",2022-02-04
"84","00186D1659","M",202,"1659","K1",1.13395214721939,"T1",2021-07-29
"82","00186D1659","M",202,"1659","K2",1.07330685843083,"T2",2021-08-30
"83","00186D1659","M",202,"1659","K3",0.911211546872722,"T3",2021-09-29
"81","00186D1659","M",202,"1659","K4",1.22124974557297,"T4",2021-11-04
"80","00186D1659","M",202,"1659","K5",1.26736111111111,"T5",2021-12-09
"79","00186D1659","M",202,"1659","K6",1.27398673326358,"T6",2022-01-06
"78","00186D1659","M",202,"1659","K7",1.60093294460641,"T7",2022-02-04
"87","00186D165E","M",201,"165E","K1",1.07630489154947,"T1",2021-07-29
"89","00186D165E","M",201,"165E","K2",1.11759627393402,"T2",2021-08-30
"91","00186D165E","M",201,"165E","K3",1.11328125,"T3",2021-09-29
"85","00186D165E","M",201,"165E","K4",1.28943758573388,"T4",2021-11-04
"86","00186D165E","M",201,"165E","K5",NA,"T5",NA
"90","00186D165E","M",201,"165E","K6",NA,"T6",NA
"88","00186D165E","M",201,"165E","K7",NA,"T7",NA
"92","00186D1662","M",201,"1662","K1",1.02505227766616,"T1",2021-07-29
"96","00186D1662","M",201,"1662","K2",1.16618075801749,"T2",2021-08-30
"98","00186D1662","M",201,"1662","K3",0.962099125364431,"T3",2021-09-29
"94","00186D1662","M",201,"1662","K4",1.02511299023181,"T4",2021-11-04
"95","00186D1662","M",201,"1662","K5",1.20593219180041,"T5",2021-12-09
"93","00186D1662","M",201,"1662","K6",1.11137959045038,"T6",2022-01-06
"97","00186D1662","M",201,"1662","K7",1.19093287383501,"T7",2022-03-30
"103","00186D1663","F",202,"1663","K1",1.0667956304051,"T1",2021-07-29
"102","00186D1663","F",202,"1663","K2",1.12881201638598,"T2",2021-08-30
"105","00186D1663","F",202,"1663","K3",1.11759627393402,"T3",2021-09-29
"100","00186D1663","F",202,"1663","K4",1.23164345103121,"T4",2021-11-04
"99","00186D1663","F",202,"1663","K5",1.15307849078498,"T5",2021-12-09
"101","00186D1663","F",202,"1663","K6",1.08902377915452,"T6",2022-01-06
"104","00186D1663","F",202,"1663","K7",1.19407407407407,"T7",2022-03-30
"108","00186D1667","F",152,"1667","K1",1.10141377472123,"T1",2021-07-29
"110","00186D1667","F",152,"1667","K2",0.976999796458376,"T2",2021-08-30
"106","00186D1667","F",152,"1667","K3",1.10193119849112,"T3",2021-09-29
"109","00186D1667","F",152,"1667","K4",1.07917503792693,"T4",2021-11-04
"107","00186D1667","F",152,"1667","K5",NA,"T5",NA
"112","00186D1667","F",152,"1667","K6",NA,"T6",NA
"111","00186D1667","F",152,"1667","K7",NA,"T7",NA
"113","00186D166A","F",152,"166A","K1",1.11988080572989,"T1",2021-07-29
"118","00186D166A","F",152,"166A","K2",1.09037037037037,"T2",2021-08-30
"116","00186D166A","F",152,"166A","K3",1.1196967487972,"T3",2021-09-29
"114","00186D166A","F",152,"166A","K4",1.07478817419825,"T4",2021-11-04
"119","00186D166A","F",152,"166A","K5",1.0752,"T5",2021-12-09
"117","00186D166A","F",152,"166A","K6",1.12178021643042,"T6",2022-01-06
"115","00186D166A","F",152,"166A","K7",1.16469853913111,"T7",2022-02-04
"126","00186D166B","F",201,"166B","K1",0.968021137026239,"T1",2021-07-29
"125","00186D166B","F",201,"166B","K2",1.06666666666667,"T2",2021-08-30
"123","00186D166B","F",201,"166B","K3",1.1445811419985,"T3",2021-09-29
"120","00186D166B","F",201,"166B","K4",1.30188214021534,"T4",2021-11-04
"122","00186D166B","F",201,"166B","K5",1.26392603427067,"T5",2021-12-09
"121","00186D166B","F",201,"166B","K6",1.32343936763052,"T6",2022-01-06
"124","00186D166B","F",201,"166B","K7",1.37821950459228,"T7",2022-02-04
"133","00186D166C","M",152,"166C","K1",1.08131487889273,"T1",2021-07-29
"129","00186D166C","M",152,"166C","K2",1.08506944444444,"T2",2021-08-30
"128","00186D166C","M",152,"166C","K3",1.07765197753906,"T3",2021-09-29
"130","00186D166C","M",152,"166C","K4",1.03550844941151,"T4",2021-11-04
"132","00186D166C","M",152,"166C","K5",1.07007563809023,"T5",2021-12-09
"127","00186D166C","M",152,"166C","K6",1.2436860629916,"T6",2022-01-06
"131","00186D166C","M",152,"166C","K7",1.1539238425362,"T7",2022-03-30
"134","00186D166E","F",202,"166E","K1",1.14547032571008,"T1",2021-07-29
"139","00186D166E","F",202,"166E","K2",1.17347608763072,"T2",2021-08-30
"135","00186D166E","F",202,"166E","K3",1.01148030142113,"T3",2021-09-29
"136","00186D166E","F",202,"166E","K4",1.11625391474964,"T4",2021-11-04
"138","00186D166E","F",202,"166E","K5",1.05540101469269,"T5",2021-12-09
