"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals","residuals.log"
"1451",1451,"00186D16F0","201","WEIGHT_3",16,"LENGTH_3",111,"T3","2021-09-29","Day_in_Exp_T3",62,1.16990621008152,"20",2021-09-29,0.953451470952764,0.0420440860055566,0.0200033375406369
"1452",1452,"00186D16F0","201","WEIGHT_4",34.4,"LENGTH_4",140,"T4","2021-11-04","Day_in_Exp_T4",98,1.2536443148688,"20",2021-11-04,1.0017363942941,0.0289448142958687,0.0137928044924504
"1453",1453,"00186D16F0","201","WEIGHT_5",49.5,"LENGTH_5",166,"T5","2021-12-09","Day_in_Exp_T5",133,1.08213373161684,"20",2021-12-09,0.852259296677978,-0.104952431061294,-0.0497872444729484
"1454",1454,"00186D16F0","201","WEIGHT_6",53.3,"LENGTH_6",171,"T6","2022-01-06","Day_in_Exp_T6",161,1.0659550166983,"20",2022-01-06,0.837402413920278,-0.109042549071171,-0.0521583691093084
"1456",1456,"00186D16F0","201","WEIGHT_8",102.5,"LENGTH_8",200,"T8","2022-03-30","Day_in_Exp_T8",244,1.28125,"20",2022-03-30,0.99322199565137,0.0535300202275075,0.029337616616247
"1457",1457,"00186D16F1","201","WEIGHT_1",1.6,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,0.96168294515402,"20",2021-07-29,0.831957393405202,-0.0279158826173248,-0.0131485481536215
"1458",1458,"00186D16F1","201","WEIGHT_2",3.5,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,1.02040816326531,"20",2021-08-30,0.864849604019889,-0.0489398893755038,-0.0213742559042939
"1459",1459,"00186D16F1","201","WEIGHT_3",5.7,"LENGTH_3",82,"T3","2021-09-29","Day_in_Exp_T3",62,1.033792312938,"20",2021-09-29,0.864488302325446,0.00438699353958305,0.00370331525969043
"1460",1460,"00186D16F1","201","WEIGHT_4",12,"LENGTH_4",105,"T4","2021-11-04","Day_in_Exp_T4",98,1.03660511823777,"20",2021-11-04,0.848813461318569,-0.0726720425183169,-0.0319089398454349
"1461",1461,"00186D16F1","201","WEIGHT_5",19.7,"LENGTH_5",121,"T5","2021-12-09","Day_in_Exp_T5",133,1.11201364220594,"20",2021-12-09,0.899649532754594,-0.00625611882333321,-4.61833181878007e-05
"1465",1465,"00186D16F2","152","WEIGHT_1",2.7,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.07979699816435,"15",2021-07-29,0.923417645305036,0.00411777645351941,0.00246229991780527
"1466",1466,"00186D16F2","152","WEIGHT_2",5.5,"LENGTH_2",80,"T2","2021-08-21","Day_in_Exp_T2",20,1.07421875,"15",2021-08-21,0.900181492319085,-0.00719233980982414,-0.00290253211617207
"1473",1473,"00186D16F3","152","WEIGHT_1",2.2,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.12755750543278,"15",2021-07-29,0.971062807664894,0.0164009644533448,0.00638198636212291
"1474",1474,"00186D16F3","152","WEIGHT_2",4.1,"LENGTH_2",72,"T2","2021-08-30","Day_in_Exp_T2",20,1.09846536351166,"15",2021-08-30,0.928780535359923,-0.0139552711290185,-0.007248971652537
"1475",1475,"00186D16F3","152","WEIGHT_3",10.3,"LENGTH_3",97,"T3","2021-09-29","Day_in_Exp_T3",62,1.12855316197587,"15",2021-09-29,0.930350133947954,-0.0156470079003733,-0.0082473133589176
"1476",1476,"00186D16F3","152","WEIGHT_4",26.6,"LENGTH_4",131,"T4","2021-11-04","Day_in_Exp_T4",98,1.18322612385353,"15",2021-11-04,0.950823023979604,0.000104463031732394,-0.000957146369799541
"1477",1477,"00186D16F3","152","WEIGHT_5",62.3,"LENGTH_5",172,"T5","2021-12-09","Day_in_Exp_T5",133,1.22434188184688,"15",2021-12-09,0.961352783172285,0.00825755312415499,0.00303628797102522
"1478",1478,"00186D16F3","152","WEIGHT_6",96.7,"LENGTH_6",198,"T6","2022-01-06","Day_in_Exp_T6",161,1.24575002138516,"15",2022-01-06,0.966527826877996,0.0233734000527466,0.0136296668205698
"1480",1480,"00186D16F3","152","WEIGHT_8",234.8,"LENGTH_8",260,"T8","2022-03-30","Day_in_Exp_T8",244,1.33591260810196,"15",2022-03-30,1.0127571409711,0.0820368739711732,0.0369873984289162
"1481",1481,"00186D16F4","151","WEIGHT_1",1.8,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,1.08189331329827,"15",2021-07-29,0.935952067580852,0.0443022373188797,0.0220198161022654
"1482",1482,"00186D16F4","151","WEIGHT_2",4.9,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,0.993836187400997,"15",2021-08-30,0.833712865504316,-0.0460109280350489,-0.022514031077184
"1483",1483,"00186D16F4","151","WEIGHT_3",13.8,"LENGTH_3",108,"T3","2021-09-29","Day_in_Exp_T3",62,1.09548849260783,"15",2021-09-29,0.894884118487533,0.0118989895887823,0.00650460527839546
"1484",1484,"00186D16F4","151","WEIGHT_4",36.7,"LENGTH_4",148,"T4","2021-11-04","Day_in_Exp_T4",98,1.13208990582986,"15",2021-11-04,0.900344409509732,0.0126378615114373,0.00698337876293536
"1485",1485,"00186D16F4","151","WEIGHT_5",71.5,"LENGTH_5",186,"T5","2021-12-09","Day_in_Exp_T5",133,1.11113597569239,"15",2021-12-09,0.866679669199651,-0.0234035478989019,-0.0103563486824239
"1486",1486,"00186D16F4","151","WEIGHT_6",111.7,"LENGTH_6",216,"T6","2022-01-06","Day_in_Exp_T6",161,1.10838826652441,"15",2022-01-06,0.853617580276893,-0.0265248335987793,-0.00868980208349775
"1488",1488,"00186D16F4","151","WEIGHT_8",252.2,"LENGTH_8",286,"T8","2022-03-30","Day_in_Exp_T8",244,1.07807005454812,"15",2022-03-30,0.810691967636168,-0.0570162864141803,-0.0280305032155987
"1489",1489,"00186D16F5","151","WEIGHT_1",1.8,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,0.922547049899545,"15",2021-07-29,0.794505933544004,-0.141175438822498,-0.0706569941289862
"1490",1490,"00186D16F5","151","WEIGHT_2",5,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.1390144335909,"15",2021-08-30,0.958649990167346,0.0348946545234512,0.0166091904957594
"1491",1491,"00186D16F5","151","WEIGHT_3",11.7,"LENGTH_3",101,"T3","2021-09-29","Day_in_Exp_T3",62,1.13559047307534,"15",2021-09-29,0.932941524525501,0.00592485352222094,0.00307188100177578
"1492",1492,"00186D16F5","151","WEIGHT_4",21.1,"LENGTH_4",119,"T4","2021-11-04","Day_in_Exp_T4",98,1.25210736791009,"15",2021-11-04,1.01442531710943,0.082687227006608,0.0372744387266925
"1493",1493,"00186D16F5","151","WEIGHT_5",33.3,"LENGTH_5",143,"T5","2021-12-09","Day_in_Exp_T5",133,1.13877027173521,"15",2021-12-09,0.908306784102844,-0.0258079751002381,-0.0115027468239608
"1494",1494,"00186D16F5","151","WEIGHT_6",47.6,"LENGTH_6",155,"T6","2022-01-06","Day_in_Exp_T6",161,1.27823839414588,"15",2022-01-06,1.01259006934131,0.0884161133611115,0.0439601637873266
"1497",1497,"00186D16F6","151","WEIGHT_1",1.9,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,1.1419984973704,"15",2021-07-29,0.987949404668677,0.0335618439265675,0.0144446154312674
"1498",1498,"00186D16F6","151","WEIGHT_2",4.7,"LENGTH_2",75,"T2","2021-08-30","Day_in_Exp_T2",20,1.11407407407407,"15",2021-08-30,0.938715222054842,-0.00374630196465964,-0.00205297062288368
"1499",1499,"00186D16F6","151","WEIGHT_3",13,"LENGTH_3",104,"T3","2021-09-29","Day_in_Exp_T3",62,1.15569526627219,"15",2021-09-29,0.947099267167647,0.00137640778875925,7.70086039774132e-05
"1500",1500,"00186D16F6","151","WEIGHT_4",32,"LENGTH_4",136,"T4","2021-11-04","Day_in_Exp_T4",98,1.27213515163851,"15",2021-11-04,1.01901938557736,0.0685751070989277,0.0297008559815538
"1505",1505,"00186D16F7","151","WEIGHT_1",2.1,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.07630489154947,"15",2021-07-29,0.926923589134672,0.016790909770719,0.00916133688931003
"1506",1506,"00186D16F7","151","WEIGHT_2",3.6,"LENGTH_2",71,"T2","2021-08-18","Day_in_Exp_T2",20,1.00583664654062,"15",2021-08-18,0.851472242866902,-0.0467343997744429,-0.022008845297395
"1513",1513,"00186D16F8","202","WEIGHT_1",1.3,"LENGTH_1",49,"T1","2021-07-29","Day_in_Exp_T1",0,1.10498176780083,"20",2021-07-29,0.965358101030359,0.0441632085695584,0.0207716361867592
"1514",1514,"00186D16F8","202","WEIGHT_2",2.8,"LENGTH_2",62,"T2","2021-08-30","Day_in_Exp_T2",20,1.17485146520761,"20",2021-08-30,1.00607340598533,0.0309622961516639,0.0136476469172098
"1515",1515,"00186D16F8","202","WEIGHT_3",2.2,"LENGTH_3",60,"T3","2021-09-29","Day_in_Exp_T3",62,1.01851851851852,"20",2021-09-29,0.874633431163152,-0.0467894940609851,-0.0218969079326783
"1521",1521,"00186D16F9","151","WEIGHT_1",2.8,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.11978947957784,"15",2021-07-29,0.957618298834852,0.0570146012571833,0.0272627052551548
"1522",1522,"00186D16F9","151","WEIGHT_2",6.8,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,0.997839969947408,"15",2021-08-30,0.829430247576342,-0.0592474132787201,-0.0294466044631863
"1523",1523,"00186D16F9","151","WEIGHT_3",14.4,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.08189331329827,"15",2021-09-29,0.88240113567593,-0.00953786053851724,-0.00429207617494225
"1524",1524,"00186D16F9","151","WEIGHT_4",25.9,"LENGTH_4",134,"T4","2021-11-04","Day_in_Exp_T4",98,1.07642894903961,"15",2021-11-04,0.863339201160854,-0.0333212141531382,-0.0159397714813567
"1525",1525,"00186D16F9","151","WEIGHT_5",44.9,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.09619140625,"15",2021-12-09,0.86603649664711,-0.0330005877671394,-0.0153747021729038
"1526",1526,"00186D16F9","151","WEIGHT_6",72,"LENGTH_6",186,"T6","2022-01-06","Day_in_Exp_T6",161,1.11890615734058,"15",2022-01-06,0.872740366187061,-0.0163559150043076,-0.00376402849095488
"1528",1528,"00186D16F9","151","WEIGHT_8",165.4,"LENGTH_8",240,"T8","2022-03-30","Day_in_Exp_T8",244,1.19646990740741,"15",2022-03-30,0.913237685145154,0.0365755637791086,0.019001512175193
"1529",1529,"00186D16FA","152","WEIGHT_1",2,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.07995442592323,"15",2021-07-29,0.931442533910014,-0.00432855706545421,-0.00267826188606684
"1530",1530,"00186D16FA","152","WEIGHT_2",5.4,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.09524804325824,"15",2021-08-30,0.918785606882307,-0.00505944737055386,-0.00291688717184279
"1531",1531,"00186D16FA","152","WEIGHT_3",13.3,"LENGTH_3",105,"T3","2021-09-29","Day_in_Exp_T3",62,1.14890400604686,"15",2021-09-29,0.940768252961414,0.013661863349167,0.00561992200161205
"1532",1532,"00186D16FA","152","WEIGHT_4",26.9,"LENGTH_4",132,"T4","2021-11-04","Day_in_Exp_T4",98,1.16958148982942,"15",2021-11-04,0.939251078101468,0.00742326938967708,0.00275587284753715
"1533",1533,"00186D16FA","152","WEIGHT_5",49,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.1962890625,"15",2021-12-09,0.94511778030531,0.0109133024932603,0.00467044007463945
"1534",1534,"00186D16FA","152","WEIGHT_6",72.5,"LENGTH_6",181,"T6","2022-01-06","Day_in_Exp_T6",161,1.22265036533636,"15",2022-01-06,0.955871698315978,0.03160802372681,0.0178459143119607
"1536",1536,"00186D16FA","152","WEIGHT_8",169.9,"LENGTH_8",243,"T8","2022-03-30","Day_in_Exp_T8",244,1.18406231220259,"15",2022-03-30,0.902813458939598,-0.00901605582424669,-0.00388888432042499
"1537",1537,"00186D16FB","202","WEIGHT_1",2.7,"LENGTH_1",62,"T1","2021-07-29","Day_in_Exp_T1",0,1.13289248430734,"20",2021-07-29,0.970142212914426,0.0558993074985072,0.0262167599959563
"1538",1538,"00186D16FB","202","WEIGHT_2",5.2,"LENGTH_2",78,"T2","2021-08-28","Day_in_Exp_T2",20,1.09577032653956,"20",2021-08-28,0.92021963211094,-0.0479394906778459,-0.0217923608170338
"1545",1545,"00186D16FC","151","WEIGHT_1",1.7,"LENGTH_1",53,"T1","2021-07-29","Day_in_Exp_T1",0,1.14188222492393,"15",2021-07-29,0.990963968173277,0.0390075329417943,0.0164969479958609
"1546",1546,"00186D16FC","151","WEIGHT_2",4.1,"LENGTH_2",72,"T2","2021-08-30","Day_in_Exp_T2",20,1.09846536351166,"15",2021-08-30,0.928780535359923,-0.011249863148952,-0.00594455299809405
"1547",1547,"00186D16FC","151","WEIGHT_3",10.2,"LENGTH_3",95,"T3","2021-09-29","Day_in_Exp_T3",62,1.18967779559703,"15",2021-09-29,0.982478034312266,0.0391863004440054,0.0167335302475406
"1548",1548,"00186D16FC","151","WEIGHT_4",20.2,"LENGTH_4",120,"T4","2021-11-04","Day_in_Exp_T4",98,1.16898148148148,"15",2021-11-04,0.946405434355348,-0.00160771861245723,-0.00167519185868972
"1549",1549,"00186D16FC","151","WEIGHT_5",41.4,"LENGTH_5",150,"T5","2021-12-09","Day_in_Exp_T5",133,1.22666666666667,"15",2021-12-09,0.974448310434909,0.0240584883668453,0.0102167256102093
"1550",1550,"00186D16FC","151","WEIGHT_6",75.3,"LENGTH_6",184,"T6","2022-01-06","Day_in_Exp_T6",161,1.20876397221994,"15",2022-01-06,0.943695734874159,0.00324671602897675,0.00455171556511529
"1553",1553,"00186D16FD","202","WEIGHT_1",2.2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.07119033591555,"20",2021-07-29,0.921179415855188,0.00719682826783052,0.00392782785547191
"1561",1561,"00186D16FE","152","WEIGHT_1",1.7,"LENGTH_1",55,"T1","2021-07-29","Day_in_Exp_T1",0,1.02178812922615,"15",2021-07-29,0.883954730493027,-0.0118225772598711,-0.00509221812814695
"1562",1562,"00186D16FE","152","WEIGHT_2",3.3,"LENGTH_2",70,"T2","2021-08-30","Day_in_Exp_T2",20,0.962099125364431,"15",2021-08-30,0.815429626647324,-0.0684216443829666,-0.0344324985461608
"1563",1563,"00186D16FE","152","WEIGHT_3",8.3,"LENGTH_3",91,"T3","2021-09-29","Day_in_Exp_T3",62,1.10142242734925,"15",2021-09-29,0.91292562407856,0.025813017688884,0.012884751114519
"1564",1564,"00186D16FE","152","WEIGHT_4",15.8,"LENGTH_4",114,"T4","2021-11-04","Day_in_Exp_T4",98,1.06645499559919,"15",2021-11-04,0.867172746853526,-0.0246612786356948,-0.0116081234196859
"1565",1565,"00186D16FE","152","WEIGHT_5",28,"LENGTH_5",135,"T5","2021-12-09","Day_in_Exp_T5",133,1.13803790072652,"15",2021-12-09,0.912175399457959,0.0179647048684806,0.00957494745851269
"1566",1566,"00186D16FE","152","WEIGHT_6",42.9,"LENGTH_6",157,"T6","2022-01-06","Day_in_Exp_T6",161,1.10855778183014,"15",2022-01-06,0.877216646560914,-0.00705324480568315,0.00086526109837317
"1568",1568,"00186D16FE","152","WEIGHT_8",130.6,"LENGTH_8",226,"T8","2022-03-30","Day_in_Exp_T8",244,1.13140438991834,"15",2022-03-30,0.86799783545707,-0.00383789608420382,-0.000656181585620787
"1569",1569,"00186D16FF","201","WEIGHT_1",1.8,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,0.971958983330903,"20",2021-07-29,0.838298280519013,-0.133327919009174,-0.0627563030654055
"1570",1570,"00186D16FF","201","WEIGHT_2",3.9,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.08965636708567,"20",2021-08-30,0.922428263105811,-0.103114153795242,-0.0462874902817067
"1571",1571,"00186D16FF","201","WEIGHT_3",7,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.1398330958681,"20",2021-09-29,0.950256073799033,-0.0215981584924905,-0.0081203963226429
"1572",1572,"00186D16FF","201","WEIGHT_4",16.1,"LENGTH_4",105,"T4","2021-11-04","Day_in_Exp_T4",98,1.39077853363568,"20",2021-11-04,1.13882472726908,0.105586299926534,0.0428304454395185
"1573",1573,"00186D16FF","201","WEIGHT_5",29.6,"LENGTH_5",129,"T5","2021-12-09","Day_in_Exp_T5",133,1.37886764221552,"20",2021-12-09,1.10948760513295,0.0918290300493669,0.0380976680329517
"1574",1574,"00186D16FF","201","WEIGHT_6",41.6,"LENGTH_6",145,"T6","2022-01-06","Day_in_Exp_T6",161,1.36454959202919,"20",2022-01-06,1.08710888115044,0.0802170708146763,0.0345146712059024
"1576",1576,"00186D16FF","201","WEIGHT_8",101.9,"LENGTH_8",190,"T8","2022-03-30","Day_in_Exp_T8",244,1.48563930602129,"20",2022-03-30,1.15669624324008,0.156557420471901,0.0688448179649482
"1577",1577,"00186D1700","151","WEIGHT_1",1.6,"LENGTH_1",54,"T1","2021-07-29","Day_in_Exp_T1",0,1.01610526850582,"15",2021-07-29,0.880410540915783,-0.0394840223439912,-0.0191116589851172
"1578",1578,"00186D1700","151","WEIGHT_2",4.1,"LENGTH_2",72,"T2","2021-08-30","Day_in_Exp_T2",20,1.09846536351166,"15",2021-08-30,0.928780535359923,0.020812008822756,0.00981947007870079
"1579",1579,"00186D1700","151","WEIGHT_3",11.7,"LENGTH_3",104,"T3","2021-09-29","Day_in_Exp_T3",62,1.04012573964497,"15",2021-09-29,0.852389340450882,-0.0588405214456708,-0.0291872861120626
"1580",1580,"00186D1700","151","WEIGHT_4",29.8,"LENGTH_4",136,"T4","2021-11-04","Day_in_Exp_T4",98,1.18467585996336,"15",2021-11-04,0.948961802818916,0.0330105218228188,0.0152603375825382
"1581",1581,"00186D1700","151","WEIGHT_5",59.4,"LENGTH_5",170,"T5","2021-12-09","Day_in_Exp_T5",133,1.20903724811724,"15",2021-12-09,0.950279854526473,0.0319519044301176,0.0150734642821003
"1582",1582,"00186D1700","151","WEIGHT_6",91.8,"LENGTH_6",200,"T6","2022-01-06","Day_in_Exp_T6",161,1.1475,"15",2022-01-06,0.889539309276057,-0.0188478375974178,-0.0053511089965101
"1584",1584,"00186D1700","151","WEIGHT_8",241.2,"LENGTH_8",270,"T8","2022-03-30","Day_in_Exp_T8",244,1.22542295381802,"15",2022-03-30,0.926019412454225,0.0300664254060742,0.0151706171121883
"1585",1585,"00186D1701","152","WEIGHT_1",2.9,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.15978196099133,"15",2021-07-29,0.991818952364668,0.0307207177287326,0.0126551761515786
"1586",1586,"00186D1701","152","WEIGHT_2",6.1,"LENGTH_2",79,"T2","2021-08-24","Day_in_Exp_T2",20,1.23722464145838,"15",2021-08-24,1.0378874448115,0.0887152468981666,0.0380762891332897
"1593",1593,"00186D1702","151","WEIGHT_1",2.2,"LENGTH_1",60,"T1","2021-07-29","Day_in_Exp_T1",0,1.01851851851852,"15",2021-07-29,0.874633431163152,-0.0300392540033894,-0.0143018770884157
"1594",1594,"00186D1702","151","WEIGHT_2",5.7,"LENGTH_2",81,"T2","2021-08-30","Day_in_Exp_T2",20,1.07255556120059,"15",2021-08-30,0.897839219620158,0.00509257117622475,0.00277387939138835
"1595",1595,"00186D1702","151","WEIGHT_3",14.3,"LENGTH_3",108,"T3","2021-09-29","Day_in_Exp_T3",62,1.13518010465884,"15",2021-09-29,0.927307456113893,0.0312994723105735,0.015067397776438
"1596",1596,"00186D1702","151","WEIGHT_4",29.3,"LENGTH_4",136,"T4","2021-11-04","Day_in_Exp_T4",98,1.16479874821901,"15",2021-11-04,0.93303962491927,0.0323102220164064,0.0155806359704953
"1597",1597,"00186D1702","151","WEIGHT_5",50.5,"LENGTH_5",165,"T5","2021-12-09","Day_in_Exp_T5",133,1.12418955394162,"15",2021-12-09,0.885836172085484,-0.0172698999176373,-0.00775570591825491
"1598",1598,"00186D1702","151","WEIGHT_6",72.5,"LENGTH_6",187,"T6","2022-01-06","Day_in_Exp_T6",161,1.1086978030809,"15",2022-01-06,0.86438386274341,-0.028781406036831,-0.0101406610583733
"1600",1600,"00186D1702","151","WEIGHT_8",173,"LENGTH_8",250,"T8","2022-03-30","Day_in_Exp_T8",244,1.1072,"15",2022-03-30,0.842172733392538,-0.0385583755623795,-0.0183793554397874
"1601",1601,"00186D1703","202","WEIGHT_1",2.1,"LENGTH_1",58,"T1","2021-07-29","Day_in_Exp_T1",0,1.07630489154947,"20",2021-07-29,0.926923589134672,0.0429744464314125,0.0217491809191399
"1602",1602,"00186D1703","202","WEIGHT_2",4.9,"LENGTH_2",74,"T2","2021-08-30","Day_in_Exp_T2",20,1.20920774682645,"20",2021-08-30,1.02003770312027,0.0821723430441483,0.038256257894551
"1603",1603,"00186D1703","202","WEIGHT_3",3.8,"LENGTH_3",74,"T3","2021-09-29","Day_in_Exp_T3",62,0.937752946518469,"20",2021-09-29,0.791049647317763,-0.0931275281488317,-0.0468971845156004
"1604",1604,"00186D1703","202","WEIGHT_4",4.8,"LENGTH_4",76,"T4","2021-11-04","Day_in_Exp_T4",98,1.09345385624727,"20",2021-11-04,0.920303990560652,-0.0252573799569664,-0.00883501302626859
"1605",1605,"00186D1703","202","WEIGHT_5",12.4,"LENGTH_5",105,"T5","2021-12-09","Day_in_Exp_T5",133,1.07115862217903,"20",2021-12-09,0.877107243362521,-0.0528742748961389,-0.02311196447537
"1606",1606,"00186D1703","202","WEIGHT_6",11.1,"LENGTH_6",105,"T6","2022-01-06","Day_in_Exp_T6",161,0.958859734369938,"20",2022-01-06,0.785152451719676,-0.134062301791161,-0.0659442566240867
"1608",1608,"00186D1703","202","WEIGHT_8",36.3,"LENGTH_8",142,"T8","2022-03-30","Day_in_Exp_T8",244,1.26777327324391,"20",2022-03-30,1.01180560899961,0.0993438430563612,0.0515827002583402
"1609",1609,"0018729399","202","WEIGHT_1",4.3,"LENGTH_1",73,"T1","2021-07-29","Day_in_Exp_T1",0,1.10535015179285,"20",2021-07-29,0.933506684473729,0.00057986746327976,0.000484810906517443
"1610",1610,"0018729399","202","WEIGHT_2",8.6,"LENGTH_2",88,"T2","2021-08-24","Day_in_Exp_T2",20,1.26197407963937,"20",2021-08-24,1.04898531311126,0.0621422787279395,0.0260715733680515
"1617",1617,"001872939A","151","WEIGHT_1",3.8,"LENGTH_1",71,"T1","2021-07-29","Day_in_Exp_T1",0,1.06171646023732,"15",2021-07-29,0.898776256359508,-0.0122071612453759,-0.00485909339944475
"1618",1618,"001872939A","151","WEIGHT_2",5.4,"LENGTH_2",80,"T2","2021-08-18","Day_in_Exp_T2",20,1.0546875,"15",2021-08-18,0.883814556095102,-0.0152428247871746,-0.00644627682847255
"1625",1625,"001872939C","201","WEIGHT_1",2.2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,1.07119033591555,"20",2021-07-29,0.921179415855188,0.034718600287014,0.0172560036976805
"1626",1626,"001872939C","201","WEIGHT_2",4.4,"LENGTH_2",73,"T2","2021-08-30","Day_in_Exp_T2",20,1.13105596927641,"20",2021-08-30,0.955216142252188,0.0148391093111478,0.00794821871528701
"1627",1627,"001872939C","201","WEIGHT_3",3.6,"LENGTH_3",72,"T3","2021-09-29","Day_in_Exp_T3",62,0.964506172839506,"20",2021-09-29,0.815514616413591,-0.0711742319179186,-0.0354626440209179
"1628",1628,"001872939C","201","WEIGHT_4",5.3,"LENGTH_4",78,"T4","2021-11-04","Day_in_Exp_T4",98,1.11684283281916,"20",2021-11-04,0.937916163497689,-0.0101568798848445,-0.00239576545035045
"1629",1629,"001872939C","201","WEIGHT_5",9.1,"LENGTH_5",94,"T5","2021-12-09","Day_in_Exp_T5",133,1.09561465185941,"20",2021-12-09,0.905611573304872,-0.0268816178187032,-0.0110161655762159
"1630",1630,"001872939C","201","WEIGHT_6",14.8,"LENGTH_6",110,"T6","2022-01-06","Day_in_Exp_T6",161,1.11194590533434,"20",2022-01-06,0.906912278333595,-0.0148141480421569,-0.00512643363354493
"1633",1633,"001872939D","202","WEIGHT_1",2,"LENGTH_1",59,"T1","2021-07-29","Day_in_Exp_T1",0,0.973809396286865,"20",2021-07-29,0.837435832595625,-0.0414080612535952,-0.0209249255396991
"1634",1634,"001872939D","202","WEIGHT_2",3.4,"LENGTH_2",68,"T2","2021-08-30","Day_in_Exp_T2",20,1.08131487889273,"20",2021-08-30,0.918732164923706,-0.0140279462983807,-0.00575275703493245
"1635",1635,"001872939D","202","WEIGHT_3",4.9,"LENGTH_3",76,"T3","2021-09-29","Day_in_Exp_T3",62,1.11623414491908,"20",2021-09-29,0.939476990363999,0.0604050637514422,0.029203510465376
"1636",1636,"001872939D","202","WEIGHT_4",6.1,"LENGTH_4",82,"T4","2021-11-04","Day_in_Exp_T4",98,1.10633914191611,"20",2021-11-04,0.92515414810267,-0.0153019735609099,-0.00513392942316092
"1637",1637,"001872939D","202","WEIGHT_5",12.8,"LENGTH_5",105,"T5","2021-12-09","Day_in_Exp_T5",133,1.10571212612029,"20",2021-12-09,0.905401025406473,-0.019475243998148,-0.00790539160428418
"1638",1638,"001872939D","202","WEIGHT_6",21.6,"LENGTH_6",128,"T6","2022-01-06","Day_in_Exp_T6",161,1.02996826171875,"20",2022-01-06,0.829298719477035,-0.084810785179763,-0.0407689646072758
"1640",1640,"001872939D","202","WEIGHT_8",52.8,"LENGTH_8",165,"T8","2022-03-30","Day_in_Exp_T8",244,1.17539026629936,"20",2022-03-30,0.926181185863635,0.0188246687744231,0.0145998606633207
"1641",1641,"001872939E","201","WEIGHT_1",3.4,"LENGTH_1",67,"T1","2021-07-29","Day_in_Exp_T1",0,1.13045820130801,"20",2021-07-29,0.961696755171403,0.0205793746212941,0.00937851967688836
"1642",1642,"001872939E","201","WEIGHT_2",8.7,"LENGTH_2",88,"T2","2021-08-24","Day_in_Exp_T2",20,1.27664819684448,"20",2021-08-24,1.06118281675208,0.0661492188291083,0.0270653649112478
"1649",1649,"00187293A0","201","WEIGHT_1",4.2,"LENGTH_1",73,"T1","2021-07-29","Day_in_Exp_T1",0,1.0796443343093,"20",2021-07-29,0.91179722669527,0.0221628720142476,0.0111124781105136
"1650",1650,"00187293A0","201","WEIGHT_2",7.1,"LENGTH_2",88,"T2","2021-08-30","Day_in_Exp_T2",20,1.04186232156273,"20",2021-08-30,0.866022758498827,-0.0775278135550621,-0.0363216967707588
"1651",1651,"00187293A0","201","WEIGHT_3",15.2,"LENGTH_3",110,"T3","2021-09-29","Day_in_Exp_T3",62,1.1419984973704,"20",2021-09-29,0.93142342099126,0.0415610335469005,0.0205551933266367
"1652",1652,"00187293A0","201","WEIGHT_4",24.4,"LENGTH_4",129,"T4","2021-11-04","Day_in_Exp_T4",98,1.13663413750199,"20",2021-11-04,0.914577620447436,-0.0366689620479466,-0.0150367832927309
"1653",1653,"00187293A0","201","WEIGHT_5",47.8,"LENGTH_5",160,"T5","2021-12-09","Day_in_Exp_T5",133,1.1669921875,"20",2021-12-09,0.921972038746812,-0.0136946914896116,-0.00493794703091785
"1657",1657,"00187293A1","152","WEIGHT_1",3.7,"LENGTH_1",70,"T1","2021-07-29","Day_in_Exp_T1",0,1.07871720116618,"15",2021-07-29,0.914269581392454,-0.038473586202053,-0.018703520141826
